Cluster_norm,Cluster
Cluster-43180.0,Cluster_43180_0.p3
Cluster-61143.0,Cluster_61143_0.p1
Cluster-23614.2,Cluster_23614_2.p1
Cluster-24476.5,Cluster_24476_5.p1
Cluster-24476.4,Cluster_24476_4.p1
Cluster-24476.6,Cluster_24476_6.p1
Cluster-24476.1,Cluster_24476_1.p1
Cluster-24476.1,Cluster_24476_1.p2
Cluster-24476.0,Cluster_24476_0.p1
Cluster-24476.3,Cluster_24476_3.p1
Cluster-24476.3,Cluster_24476_3.p2
Cluster-24476.2,Cluster_24476_2.p1
Cluster-24476.2,Cluster_24476_2.p2
Cluster-61052.0,Cluster_61052_0.p1
Cluster-61052.0,Cluster_61052_0.p2
Cluster-37410.2,Cluster_37410_2.p1
Cluster-37410.2,Cluster_37410_2.p2
Cluster-48844.1,Cluster_48844_1.p1
Cluster-48844.1,Cluster_48844_1.p2
Cluster-48844.1,Cluster_48844_1.p3
Cluster-52190.1,Cluster_52190_1.p1
Cluster-52190.1,Cluster_52190_1.p2
Cluster-52190.1,Cluster_52190_1.p3
Cluster-52190.1,Cluster_52190_1.p4
Cluster-52190.1,Cluster_52190_1.p5
Cluster-52190.0,Cluster_52190_0.p1
Cluster-52190.0,Cluster_52190_0.p2
Cluster-52190.2,Cluster_52190_2.p1
Cluster-52190.5,Cluster_52190_5.p1
Cluster-52190.5,Cluster_52190_5.p2
Cluster-52190.5,Cluster_52190_5.p3
Cluster-7665.0,Cluster_7665_0.p1
Cluster-27315.0,Cluster_27315_0.p1
Cluster-31793.0,Cluster_31793_0.p1
Cluster-59879.0,Cluster_59879_0.p1
Cluster-36063.4,Cluster_36063_4.p1
Cluster-36063.4,Cluster_36063_4.p2
Cluster-36063.5,Cluster_36063_5.p1
Cluster-36063.5,Cluster_36063_5.p2
Cluster-36063.0,Cluster_36063_0.p1
Cluster-36063.1,Cluster_36063_1.p1
Cluster-36063.2,Cluster_36063_2.p1
Cluster-36063.2,Cluster_36063_2.p2
Cluster-36063.2,Cluster_36063_2.p3
Cluster-20187.0,Cluster_20187_0.p1
Cluster-15262.0,Cluster_15262_0.p1
Cluster-39200.0,Cluster_39200_0.p1
Cluster-36004.5,Cluster_36004_5.p1
Cluster-36004.4,Cluster_36004_4.p1
Cluster-36004.7,Cluster_36004_7.p1
Cluster-36004.7,Cluster_36004_7.p2
Cluster-36004.6,Cluster_36004_6.p1
Cluster-36004.1,Cluster_36004_1.p1
Cluster-36004.1,Cluster_36004_1.p2
Cluster-36004.0,Cluster_36004_0.p1
Cluster-36004.3,Cluster_36004_3.p1
Cluster-36004.8,Cluster_36004_8.p1
Cluster-36004.8,Cluster_36004_8.p2
Cluster-43727.1,Cluster_43727_1.p1
Cluster-43727.1,Cluster_43727_1.p2
Cluster-43727.1,Cluster_43727_1.p3
Cluster-57356.0,Cluster_57356_0.p1
Cluster-51360.0,Cluster_51360_0.p1
Cluster-59733.0,Cluster_59733_0.p1
Cluster-49437.0,Cluster_49437_0.p1
Cluster-49437.0,Cluster_49437_0.p2
Cluster-49437.0,Cluster_49437_0.p3
Cluster-47481.0,Cluster_47481_0.p1
Cluster-47481.0,Cluster_47481_0.p2
Cluster-33000.18,Cluster_33000_18.p1
Cluster-33000.18,Cluster_33000_18.p2
Cluster-33000.19,Cluster_33000_19.p1
Cluster-33000.19,Cluster_33000_19.p2
Cluster-33000.19,Cluster_33000_19.p3
Cluster-33000.19,Cluster_33000_19.p4
Cluster-33000.19,Cluster_33000_19.p5
Cluster-33000.19,Cluster_33000_19.p6
Cluster-33000.19,Cluster_33000_19.p7
Cluster-33000.19,Cluster_33000_19.p8
Cluster-33000.19,Cluster_33000_19.p9
Cluster-33000.19,Cluster_33000_19.p10
Cluster-33000.19,Cluster_33000_19.p11
Cluster-33000.19,Cluster_33000_19.p12
Cluster-33000.14,Cluster_33000_14.p1
Cluster-33000.14,Cluster_33000_14.p2
Cluster-33000.14,Cluster_33000_14.p3
Cluster-33000.16,Cluster_33000_16.p1
Cluster-33000.16,Cluster_33000_16.p2
Cluster-33000.16,Cluster_33000_16.p3
Cluster-33000.16,Cluster_33000_16.p4
Cluster-33000.16,Cluster_33000_16.p5
Cluster-33000.17,Cluster_33000_17.p1
Cluster-33000.17,Cluster_33000_17.p2
Cluster-33000.17,Cluster_33000_17.p3
Cluster-33000.10,Cluster_33000_10.p1
Cluster-33000.11,Cluster_33000_11.p1
Cluster-33000.11,Cluster_33000_11.p2
Cluster-33000.12,Cluster_33000_12.p1
Cluster-33000.12,Cluster_33000_12.p2
Cluster-33000.13,Cluster_33000_13.p1
Cluster-33000.13,Cluster_33000_13.p2
Cluster-49516.0,Cluster_49516_0.p1
Cluster-49516.0,Cluster_49516_0.p2
Cluster-2623.0,Cluster_2623_0.p1
Cluster-29217.0,Cluster_29217_0.p1
Cluster-41318.2,Cluster_41318_2.p1
Cluster-41318.2,Cluster_41318_2.p2
Cluster-41318.2,Cluster_41318_2.p3
Cluster-41318.2,Cluster_41318_2.p4
Cluster-41318.1,Cluster_41318_1.p1
Cluster-41318.0,Cluster_41318_0.p1
Cluster-57783.0,Cluster_57783_0.p1
Cluster-8703.2,Cluster_8703_2.p1
Cluster-8703.2,Cluster_8703_2.p2
Cluster-8703.2,Cluster_8703_2.p3
Cluster-8703.2,Cluster_8703_2.p4
Cluster-8703.2,Cluster_8703_2.p5
Cluster-8703.2,Cluster_8703_2.p6
Cluster-8703.2,Cluster_8703_2.p7
Cluster-33449.1,Cluster_33449_1.p1
Cluster-33449.0,Cluster_33449_0.p1
Cluster-50739.0,Cluster_50739_0.p1
Cluster-47361.1,Cluster_47361_1.p1
Cluster-6672.0,Cluster_6672_0.p1
Cluster-47522.12,Cluster_47522_12.p1
Cluster-47522.12,Cluster_47522_12.p2
Cluster-47522.12,Cluster_47522_12.p3
Cluster-47522.12,Cluster_47522_12.p4
Cluster-33107.0,Cluster_33107_0.p1
Cluster-33107.1,Cluster_33107_1.p1
Cluster-33107.2,Cluster_33107_2.p1
Cluster-26010.1,Cluster_26010_1.p1
Cluster-26010.5,Cluster_26010_5.p1
Cluster-10383.0,Cluster_10383_0.p1
Cluster-10383.0,Cluster_10383_0.p2
Cluster-10383.0,Cluster_10383_0.p3
Cluster-46528.0,Cluster_46528_0.p1
Cluster-46528.0,Cluster_46528_0.p2
Cluster-46528.0,Cluster_46528_0.p3
Cluster-46528.0,Cluster_46528_0.p4
Cluster-46528.0,Cluster_46528_0.p5
Cluster-36105.1,Cluster_36105_1.p1
Cluster-36105.1,Cluster_36105_1.p2
Cluster-36105.1,Cluster_36105_1.p3
Cluster-36105.1,Cluster_36105_1.p4
Cluster-36105.3,Cluster_36105_3.p1
Cluster-31547.0,Cluster_31547_0.p1
Cluster-31547.0,Cluster_31547_0.p2
Cluster-31547.1,Cluster_31547_1.p1
Cluster-31547.1,Cluster_31547_1.p2
Cluster-35262.0,Cluster_35262_0.p1
Cluster-18680.1,Cluster_18680_1.p1
Cluster-11268.0,Cluster_11268_0.p1
Cluster-11268.1,Cluster_11268_1.p1
Cluster-60083.1,Cluster_60083_1.p1
Cluster-60083.0,Cluster_60083_0.p1
Cluster-46523.1,Cluster_46523_1.p1
Cluster-8531.0,Cluster_8531_0.p1
Cluster-25354.0,Cluster_25354_0.p1
Cluster-37426.0,Cluster_37426_0.p1
Cluster-37426.0,Cluster_37426_0.p2
Cluster-38480.0,Cluster_38480_0.p1
Cluster-51503.0,Cluster_51503_0.p1
Cluster-51503.0,Cluster_51503_0.p2
Cluster-57349.3,Cluster_57349_3.p1
Cluster-37222.11,Cluster_37222_11.p1
Cluster-37222.11,Cluster_37222_11.p2
Cluster-37222.11,Cluster_37222_11.p3
Cluster-37222.11,Cluster_37222_11.p4
Cluster-41264.3,Cluster_41264_3.p1
Cluster-41264.3,Cluster_41264_3.p2
Cluster-51806.0,Cluster_51806_0.p1
Cluster-51806.0,Cluster_51806_0.p2
Cluster-51806.0,Cluster_51806_0.p3
Cluster-51564.0,Cluster_51564_0.p1
Cluster-51564.0,Cluster_51564_0.p2
Cluster-20243.2,Cluster_20243_2.p1
Cluster-41855.5,Cluster_41855_5.p1
Cluster-41855.7,Cluster_41855_7.p1
Cluster-41855.7,Cluster_41855_7.p2
Cluster-41855.1,Cluster_41855_1.p1
Cluster-41855.1,Cluster_41855_1.p2
Cluster-37616.0,Cluster_37616_0.p1
Cluster-41855.3,Cluster_41855_3.p1
Cluster-41855.3,Cluster_41855_3.p2
Cluster-41855.9,Cluster_41855_9.p1
Cluster-41855.9,Cluster_41855_9.p2
Cluster-41855.8,Cluster_41855_8.p1
Cluster-41855.8,Cluster_41855_8.p2
Cluster-22195.1,Cluster_22195_1.p1
Cluster-58716.0,Cluster_58716_0.p1
Cluster-58716.0,Cluster_58716_0.p2
Cluster-21899.8,Cluster_21899_8.p1
Cluster-52714.7,Cluster_52714_7.p1
Cluster-47978.4,Cluster_47978_4.p1
Cluster-47978.4,Cluster_47978_4.p2
Cluster-47978.4,Cluster_47978_4.p3
Cluster-43800.0,Cluster_43800_0.p1
Cluster-43800.0,Cluster_43800_0.p2
Cluster-52714.3,Cluster_52714_3.p1
Cluster-43059.1,Cluster_43059_1.p1
Cluster-43059.1,Cluster_43059_1.p2
Cluster-43059.1,Cluster_43059_1.p3
Cluster-12324.0,Cluster_12324_0.p1
Cluster-44039.1,Cluster_44039_1.p1
Cluster-31216.0,Cluster_31216_0.p1
Cluster-52714.1,Cluster_52714_1.p1
Cluster-52714.1,Cluster_52714_1.p2
Cluster-59539.1,Cluster_59539_1.p1
Cluster-44314.3,Cluster_44314_3.p1
Cluster-44314.3,Cluster_44314_3.p2
Cluster-44314.3,Cluster_44314_3.p3
Cluster-44314.3,Cluster_44314_3.p4
Cluster-44314.3,Cluster_44314_3.p5
Cluster-44314.3,Cluster_44314_3.p6
Cluster-48332.0,Cluster_48332_0.p1
Cluster-48332.0,Cluster_48332_0.p2
Cluster-48332.0,Cluster_48332_0.p3
Cluster-48332.0,Cluster_48332_0.p4
Cluster-48332.0,Cluster_48332_0.p5
Cluster-15041.0,Cluster_15041_0.p1
Cluster-32997.0,Cluster_32997_0.p1
Cluster-32997.0,Cluster_32997_0.p2
Cluster-28850.1,Cluster_28850_1.p1
Cluster-30777.0,Cluster_30777_0.p1
Cluster-30777.1,Cluster_30777_1.p1
Cluster-49243.0,Cluster_49243_0.p1
Cluster-38369.0,Cluster_38369_0.p1
Cluster-30021.0,Cluster_30021_0.p1
Cluster-59990.0,Cluster_59990_0.p1
Cluster-31133.8,Cluster_31133_8.p1
Cluster-31133.8,Cluster_31133_8.p2
Cluster-11635.0,Cluster_11635_0.p1
Cluster-38620.2,Cluster_38620_2.p1
Cluster-38620.2,Cluster_38620_2.p2
Cluster-38620.2,Cluster_38620_2.p3
Cluster-42334.0,Cluster_42334_0.p1
Cluster-42334.0,Cluster_42334_0.p2
Cluster-31133.5,Cluster_31133_5.p1
Cluster-31133.5,Cluster_31133_5.p2
Cluster-50902.3,Cluster_50902_3.p1
Cluster-50902.3,Cluster_50902_3.p2
Cluster-50902.3,Cluster_50902_3.p3
Cluster-50902.3,Cluster_50902_3.p4
Cluster-50902.3,Cluster_50902_3.p5
Cluster-40280.0,Cluster_40280_0.p1
Cluster-40280.1,Cluster_40280_1.p1
Cluster-58474.0,Cluster_58474_0.p1
Cluster-28739.0,Cluster_28739_0.p1
Cluster-22892.25,Cluster_22892_25.p1
Cluster-39380.23,Cluster_39380_23.p1
Cluster-54368.1,Cluster_54368_1.p1
Cluster-54368.1,Cluster_54368_1.p2
Cluster-54368.1,Cluster_54368_1.p3
Cluster-50295.2,Cluster_50295_2.p1
Cluster-51425.0,Cluster_51425_0.p1
Cluster-51425.0,Cluster_51425_0.p2
Cluster-51425.0,Cluster_51425_0.p3
Cluster-51425.0,Cluster_51425_0.p4
Cluster-51425.0,Cluster_51425_0.p5
Cluster-51425.0,Cluster_51425_0.p6
Cluster-51425.0,Cluster_51425_0.p7
Cluster-51425.0,Cluster_51425_0.p8
Cluster-57179.0,Cluster_57179_0.p1
Cluster-57179.0,Cluster_57179_0.p2
Cluster-22449.5,Cluster_22449_5.p1
Cluster-22449.5,Cluster_22449_5.p2
Cluster-22449.5,Cluster_22449_5.p3
Cluster-6927.0,Cluster_6927_0.p1
Cluster-39380.21,Cluster_39380_21.p1
Cluster-39380.21,Cluster_39380_21.p2
Cluster-62192.0,Cluster_62192_0.p1
Cluster-30939.0,Cluster_30939_0.p1
Cluster-30939.0,Cluster_30939_0.p2
Cluster-30939.1,Cluster_30939_1.p1
Cluster-58459.1,Cluster_58459_1.p1
Cluster-58459.0,Cluster_58459_0.p1
Cluster-37271.0,Cluster_37271_0.p1
Cluster-37271.0,Cluster_37271_0.p2
Cluster-37271.0,Cluster_37271_0.p3
Cluster-37271.1,Cluster_37271_1.p1
Cluster-43263.13,Cluster_43263_13.p1
Cluster-43263.13,Cluster_43263_13.p2
Cluster-43263.13,Cluster_43263_13.p3
Cluster-43263.13,Cluster_43263_13.p4
Cluster-36735.16,Cluster_36735_16.p1
Cluster-36735.16,Cluster_36735_16.p2
Cluster-36532.3,Cluster_36532_3.p1
Cluster-36532.3,Cluster_36532_3.p2
Cluster-36532.3,Cluster_36532_3.p3
Cluster-36735.11,Cluster_36735_11.p1
Cluster-36735.11,Cluster_36735_11.p2
Cluster-36735.12,Cluster_36735_12.p1
Cluster-36735.12,Cluster_36735_12.p2
Cluster-36735.13,Cluster_36735_13.p1
Cluster-36735.13,Cluster_36735_13.p2
Cluster-36735.13,Cluster_36735_13.p3
Cluster-43114.0,Cluster_43114_0.p1
Cluster-17777.0,Cluster_17777_0.p1
Cluster-56600.0,Cluster_56600_0.p1
Cluster-43263.18,Cluster_43263_18.p1
Cluster-43263.18,Cluster_43263_18.p2
Cluster-43263.18,Cluster_43263_18.p3
Cluster-3839.1,Cluster_3839_1.p1
Cluster-38041.1,Cluster_38041_1.p1
Cluster-52536.1,Cluster_52536_1.p1
Cluster-52536.1,Cluster_52536_1.p2
Cluster-48369.0,Cluster_48369_0.p1
Cluster-35543.0,Cluster_35543_0.p1
Cluster-31771.0,Cluster_31771_0.p1
Cluster-30253.1,Cluster_30253_1.p1
Cluster-47645.0,Cluster_47645_0.p1
Cluster-12440.0,Cluster_12440_0.p1
Cluster-4119.44,Cluster_4119_44.p1
Cluster-12234.0,Cluster_12234_0.p1
Cluster-47645.4,Cluster_47645_4.p1
Cluster-55322.4,Cluster_55322_4.p1
Cluster-47645.5,Cluster_47645_5.p1
Cluster-55322.1,Cluster_55322_1.p1
Cluster-55322.3,Cluster_55322_3.p1
Cluster-55322.2,Cluster_55322_2.p1
Cluster-41790.3,Cluster_41790_3.p1
Cluster-61523.0,Cluster_61523_0.p1
Cluster-16242.0,Cluster_16242_0.p1
Cluster-44805.1,Cluster_44805_1.p1
Cluster-44805.0,Cluster_44805_0.p1
Cluster-4634.9,Cluster_4634_9.p1
Cluster-36407.8,Cluster_36407_8.p1
Cluster-36407.9,Cluster_36407_9.p1
Cluster-36407.9,Cluster_36407_9.p2
Cluster-36407.7,Cluster_36407_7.p1
Cluster-36407.3,Cluster_36407_3.p1
Cluster-36407.3,Cluster_36407_3.p2
Cluster-36407.0,Cluster_36407_0.p1
Cluster-36407.1,Cluster_36407_1.p1
Cluster-36407.1,Cluster_36407_1.p2
Cluster-2374.1,Cluster_2374_1.p1
Cluster-13570.1,Cluster_13570_1.p1
Cluster-26866.0,Cluster_26866_0.p1
Cluster-1417.0,Cluster_1417_0.p1
Cluster-59135.0,Cluster_59135_0.p1
Cluster-59135.0,Cluster_59135_0.p2
Cluster-13830.0,Cluster_13830_0.p1
Cluster-32136.1,Cluster_32136_1.p1
Cluster-32136.1,Cluster_32136_1.p2
Cluster-32136.1,Cluster_32136_1.p3
Cluster-32136.0,Cluster_32136_0.p1
Cluster-32136.0,Cluster_32136_0.p2
Cluster-32136.0,Cluster_32136_0.p3
Cluster-53640.0,Cluster_53640_0.p1
Cluster-20676.0,Cluster_20676_0.p1
Cluster-20676.0,Cluster_20676_0.p2
Cluster-20676.0,Cluster_20676_0.p3
Cluster-53215.0,Cluster_53215_0.p1
Cluster-53215.0,Cluster_53215_0.p2
Cluster-53215.0,Cluster_53215_0.p3
Cluster-30589.1,Cluster_30589_1.p1
Cluster-30589.1,Cluster_30589_1.p2
Cluster-30589.1,Cluster_30589_1.p3
Cluster-30589.0,Cluster_30589_0.p1
Cluster-30589.0,Cluster_30589_0.p2
Cluster-34393.4,Cluster_34393_4.p1
Cluster-34393.4,Cluster_34393_4.p2
Cluster-34393.5,Cluster_34393_5.p1
Cluster-34393.5,Cluster_34393_5.p2
Cluster-34393.6,Cluster_34393_6.p1
Cluster-34393.6,Cluster_34393_6.p2
Cluster-34393.7,Cluster_34393_7.p1
Cluster-34393.7,Cluster_34393_7.p2
Cluster-34393.1,Cluster_34393_1.p1
Cluster-34393.1,Cluster_34393_1.p2
Cluster-34393.3,Cluster_34393_3.p1
Cluster-34393.3,Cluster_34393_3.p2
Cluster-52538.1,Cluster_52538_1.p1
Cluster-52538.1,Cluster_52538_1.p2
Cluster-52538.0,Cluster_52538_0.p1
Cluster-52538.0,Cluster_52538_0.p2
Cluster-58401.0,Cluster_58401_0.p1
Cluster-58401.0,Cluster_58401_0.p2
Cluster-27475.0,Cluster_27475_0.p1
Cluster-31842.11,Cluster_31842_11.p1
Cluster-45287.1,Cluster_45287_1.p1
Cluster-45287.1,Cluster_45287_1.p2
Cluster-45287.1,Cluster_45287_1.p3
Cluster-45287.1,Cluster_45287_1.p4
Cluster-14179.7,Cluster_14179_7.p1
Cluster-14179.7,Cluster_14179_7.p2
Cluster-14179.7,Cluster_14179_7.p3
Cluster-31842.14,Cluster_31842_14.p1
Cluster-60162.0,Cluster_60162_0.p1
Cluster-536.0,Cluster_536_0.p1
Cluster-62709.0,Cluster_62709_0.p1
Cluster-16813.5,Cluster_16813_5.p1
Cluster-16813.4,Cluster_16813_4.p1
Cluster-2056.0,Cluster_2056_0.p1
Cluster-2056.1,Cluster_2056_1.p1
Cluster-2056.1,Cluster_2056_1.p2
Cluster-62149.0,Cluster_62149_0.p1
Cluster-6643.37,Cluster_6643_37.p1
Cluster-6643.33,Cluster_6643_33.p1
Cluster-61745.0,Cluster_61745_0.p1
Cluster-6643.38,Cluster_6643_38.p1
Cluster-2648.1,Cluster_2648_1.p1
Cluster-51012.4,Cluster_51012_4.p1
Cluster-51012.3,Cluster_51012_3.p1
Cluster-54755.0,Cluster_54755_0.p1
Cluster-45784.0,Cluster_45784_0.p1
Cluster-45784.0,Cluster_45784_0.p2
Cluster-50404.0,Cluster_50404_0.p1
Cluster-50404.0,Cluster_50404_0.p2
Cluster-50404.0,Cluster_50404_0.p3
Cluster-50404.0,Cluster_50404_0.p4
Cluster-50404.0,Cluster_50404_0.p5
Cluster-46733.1,Cluster_46733_1.p1
Cluster-46733.1,Cluster_46733_1.p2
Cluster-46733.0,Cluster_46733_0.p1
Cluster-7919.0,Cluster_7919_0.p1
Cluster-7919.0,Cluster_7919_0.p2
Cluster-54202.0,Cluster_54202_0.p1
Cluster-54202.0,Cluster_54202_0.p2
Cluster-18634.0,Cluster_18634_0.p1
Cluster-18634.1,Cluster_18634_1.p1
Cluster-50824.0,Cluster_50824_0.p1
Cluster-50824.0,Cluster_50824_0.p2
Cluster-13056.1,Cluster_13056_1.p1
Cluster-13135.1,Cluster_13135_1.p1
Cluster-13135.0,Cluster_13135_0.p1
Cluster-13135.0,Cluster_13135_0.p2
Cluster-13135.0,Cluster_13135_0.p3
Cluster-43125.7,Cluster_43125_7.p1
Cluster-43125.7,Cluster_43125_7.p2
Cluster-43125.6,Cluster_43125_6.p1
Cluster-43125.6,Cluster_43125_6.p2
Cluster-43125.5,Cluster_43125_5.p1
Cluster-43125.5,Cluster_43125_5.p2
Cluster-43125.4,Cluster_43125_4.p1
Cluster-43125.4,Cluster_43125_4.p2
Cluster-43125.4,Cluster_43125_4.p3
Cluster-43125.4,Cluster_43125_4.p4
Cluster-43125.9,Cluster_43125_9.p1
Cluster-43125.9,Cluster_43125_9.p2
Cluster-43125.9,Cluster_43125_9.p3
Cluster-43125.8,Cluster_43125_8.p1
Cluster-43125.8,Cluster_43125_8.p2
Cluster-43125.8,Cluster_43125_8.p3
Cluster-6521.1,Cluster_6521_1.p1
Cluster-6521.1,Cluster_6521_1.p2
Cluster-55372.0,Cluster_55372_0.p1
Cluster-46842.3,Cluster_46842_3.p1
Cluster-46842.3,Cluster_46842_3.p2
Cluster-46842.4,Cluster_46842_4.p1
Cluster-46842.5,Cluster_46842_5.p1
Cluster-46842.5,Cluster_46842_5.p2
Cluster-48958.2,Cluster_48958_2.p1
Cluster-48958.2,Cluster_48958_2.p2
Cluster-48958.2,Cluster_48958_2.p3
Cluster-48958.2,Cluster_48958_2.p4
Cluster-48958.2,Cluster_48958_2.p5
Cluster-48958.2,Cluster_48958_2.p6
Cluster-48958.3,Cluster_48958_3.p1
Cluster-48958.3,Cluster_48958_3.p2
Cluster-48958.0,Cluster_48958_0.p1
Cluster-48958.0,Cluster_48958_0.p2
Cluster-32263.4,Cluster_32263_4.p1
Cluster-44074.1,Cluster_44074_1.p1
Cluster-44074.1,Cluster_44074_1.p2
Cluster-44074.0,Cluster_44074_0.p1
Cluster-44074.0,Cluster_44074_0.p2
Cluster-22874.0,Cluster_22874_0.p1
Cluster-61638.0,Cluster_61638_0.p1
Cluster-59223.1,Cluster_59223_1.p1
Cluster-59223.0,Cluster_59223_0.p1
Cluster-38280.0,Cluster_38280_0.p1
Cluster-38280.0,Cluster_38280_0.p2
Cluster-38280.0,Cluster_38280_0.p3
Cluster-23714.0,Cluster_23714_0.p1
Cluster-48983.2,Cluster_48983_2.p1
Cluster-48983.3,Cluster_48983_3.p1
Cluster-48983.3,Cluster_48983_3.p2
Cluster-48983.0,Cluster_48983_0.p1
Cluster-48983.1,Cluster_48983_1.p1
Cluster-42812.3,Cluster_42812_3.p1
Cluster-42812.3,Cluster_42812_3.p2
Cluster-51437.2,Cluster_51437_2.p1
Cluster-46372.2,Cluster_46372_2.p1
Cluster-46372.2,Cluster_46372_2.p2
Cluster-46372.5,Cluster_46372_5.p1
Cluster-46372.5,Cluster_46372_5.p2
Cluster-31928.2,Cluster_31928_2.p1
Cluster-31928.1,Cluster_31928_1.p1
Cluster-31928.1,Cluster_31928_1.p2
Cluster-31928.0,Cluster_31928_0.p1
Cluster-31928.0,Cluster_31928_0.p2
Cluster-43181.1,Cluster_43181_1.p1
Cluster-43181.1,Cluster_43181_1.p2
Cluster-43181.1,Cluster_43181_1.p3
Cluster-50108.1,Cluster_50108_1.p1
Cluster-50108.1,Cluster_50108_1.p2
Cluster-50108.1,Cluster_50108_1.p3
Cluster-43181.0,Cluster_43181_0.p1
Cluster-43181.0,Cluster_43181_0.p2
Cluster-43181.0,Cluster_43181_0.p3
Cluster-41201.0,Cluster_41201_0.p1
Cluster-41201.1,Cluster_41201_1.p1
Cluster-41201.1,Cluster_41201_1.p2
Cluster-41201.2,Cluster_41201_2.p1
Cluster-30890.0,Cluster_30890_0.p1
Cluster-39786.0,Cluster_39786_0.p1
Cluster-2468.0,Cluster_2468_0.p1
Cluster-53121.0,Cluster_53121_0.p1
Cluster-13827.0,Cluster_13827_0.p1
Cluster-13827.0,Cluster_13827_0.p2
Cluster-17201.0,Cluster_17201_0.p1
Cluster-43270.1,Cluster_43270_1.p1
Cluster-43270.1,Cluster_43270_1.p2
Cluster-43270.1,Cluster_43270_1.p3
Cluster-43270.1,Cluster_43270_1.p4
Cluster-11849.0,Cluster_11849_0.p1
Cluster-41177.10,Cluster_41177_10.p1
Cluster-41177.10,Cluster_41177_10.p2
Cluster-36363.2,Cluster_36363_2.p1
Cluster-36363.1,Cluster_36363_1.p1
Cluster-36363.0,Cluster_36363_0.p1
Cluster-10319.0,Cluster_10319_0.p1
Cluster-46039.2,Cluster_46039_2.p1
Cluster-60551.0,Cluster_60551_0.p1
Cluster-60551.0,Cluster_60551_0.p2
Cluster-52707.0,Cluster_52707_0.p1
Cluster-52707.0,Cluster_52707_0.p2
Cluster-52707.0,Cluster_52707_0.p3
Cluster-35271.0,Cluster_35271_0.p1
Cluster-35271.0,Cluster_35271_0.p2
Cluster-35271.1,Cluster_35271_1.p1
Cluster-35271.1,Cluster_35271_1.p2
Cluster-13944.1,Cluster_13944_1.p1
Cluster-13944.0,Cluster_13944_0.p1
Cluster-13944.0,Cluster_13944_0.p2
Cluster-9300.0,Cluster_9300_0.p1
Cluster-28614.0,Cluster_28614_0.p1
Cluster-35352.2,Cluster_35352_2.p1
Cluster-35352.2,Cluster_35352_2.p2
Cluster-35352.2,Cluster_35352_2.p3
Cluster-35352.3,Cluster_35352_3.p1
Cluster-35352.3,Cluster_35352_3.p2
Cluster-35352.3,Cluster_35352_3.p3
Cluster-35352.3,Cluster_35352_3.p4
Cluster-35352.1,Cluster_35352_1.p1
Cluster-35352.1,Cluster_35352_1.p2
Cluster-35352.1,Cluster_35352_1.p3
Cluster-45512.1,Cluster_45512_1.p1
Cluster-29773.0,Cluster_29773_0.p1
Cluster-42241.1,Cluster_42241_1.p1
Cluster-42241.0,Cluster_42241_0.p1
Cluster-35883.2,Cluster_35883_2.p1
Cluster-35883.1,Cluster_35883_1.p1
Cluster-35883.1,Cluster_35883_1.p2
Cluster-35883.1,Cluster_35883_1.p3
Cluster-35883.0,Cluster_35883_0.p1
Cluster-35883.0,Cluster_35883_0.p2
Cluster-35883.5,Cluster_35883_5.p1
Cluster-35883.5,Cluster_35883_5.p2
Cluster-35883.5,Cluster_35883_5.p3
Cluster-35883.5,Cluster_35883_5.p4
Cluster-35883.4,Cluster_35883_4.p1
Cluster-42241.2,Cluster_42241_2.p1
Cluster-42241.2,Cluster_42241_2.p2
Cluster-51297.0,Cluster_51297_0.p1
Cluster-51297.0,Cluster_51297_0.p2
Cluster-51297.0,Cluster_51297_0.p3
Cluster-51297.1,Cluster_51297_1.p1
Cluster-51297.1,Cluster_51297_1.p2
Cluster-51297.1,Cluster_51297_1.p3
Cluster-51297.1,Cluster_51297_1.p4
Cluster-51297.1,Cluster_51297_1.p5
Cluster-8865.0,Cluster_8865_0.p1
Cluster-25924.0,Cluster_25924_0.p1
Cluster-48458.0,Cluster_48458_0.p1
Cluster-38741.1,Cluster_38741_1.p1
Cluster-38741.1,Cluster_38741_1.p2
Cluster-38741.0,Cluster_38741_0.p1
Cluster-38741.5,Cluster_38741_5.p1
Cluster-38741.4,Cluster_38741_4.p1
Cluster-38741.7,Cluster_38741_7.p1
Cluster-38741.6,Cluster_38741_6.p1
Cluster-38741.6,Cluster_38741_6.p2
Cluster-10072.2,Cluster_10072_2.p1
Cluster-10072.1,Cluster_10072_1.p1
Cluster-61259.0,Cluster_61259_0.p1
Cluster-61259.0,Cluster_61259_0.p2
Cluster-20098.0,Cluster_20098_0.p1
Cluster-53269.1,Cluster_53269_1.p1
Cluster-53269.1,Cluster_53269_1.p2
Cluster-27439.0,Cluster_27439_0.p1
Cluster-27439.0,Cluster_27439_0.p2
Cluster-40145.5,Cluster_40145_5.p1
Cluster-16878.0,Cluster_16878_0.p1
Cluster-16878.0,Cluster_16878_0.p2
Cluster-35305.9,Cluster_35305_9.p1
Cluster-42570.4,Cluster_42570_4.p1
Cluster-33188.0,Cluster_33188_0.p1
Cluster-35030.0,Cluster_35030_0.p1
Cluster-24525.0,Cluster_24525_0.p1
Cluster-47890.1,Cluster_47890_1.p1
Cluster-47890.1,Cluster_47890_1.p2
Cluster-47890.1,Cluster_47890_1.p3
Cluster-38543.0,Cluster_38543_0.p1
Cluster-2955.0,Cluster_2955_0.p1
Cluster-2955.1,Cluster_2955_1.p1
